IndID,OvrTeamID,TeamMembers,TeamLevelAnalysis,Proactivity_T,SelfEfficacy_T,Extraversion,Agreeable,Conscientious,Neurotic,Open,Age,Sex,Class,Race,GPA,IntProject,Communication,Finance,MGMT_OVERALL,t1.MindfulnessTotal,Perf
1,1,6, ,4.25,6,6.5,4,6,4,6,19,0,1,0,3.722,3.67,4,3,93.67272727,5.16,98
6,1,6,1,3,4.25,5,2.5,4.5,4.5,3,19,1,1,0,3.416,3.33,4,3.67,96.17402597,4.33,98
24,1,6, ,3.5,5.75,4,7,6.5,2,4,20,1,1,0,3.374,4,4,3,93.9,5.22,98
25,1,6, ,3.25,4.75,3.5,4,4.5,4,3.5,19,1,1,2, , , , ,92.71168831,4.11,98
34,1,6, ,4.5,6,5,6.5,6.5,2.5,4.5,19,1,1,2,3.477,4,4,3.67,93.75454545,5,98
35,1,6, ,4.25,4.75,4.5,4.5,5,3.5,4,21,0,1,2,3.021,3.67,4,4,93.67272727,3.89,98
2,2,6,1,3.75,5.75,3,4.5,4.5,2.5,4.5,20,0,2,1,3.536,4,4,3.33,87.56493506,3.94,89
10,2,6, ,4,6,6,6.5,6.5,2,6,19,0,1,0,3.463,4,3.67,3.67,93.16753247,5.11,89
17,2,6, ,4.25,5.75,3.5,4.5,6.5,2.5,6,20,1,1,0,3.148,3.67,4,2.33,88.53766234,4.83,89
23,2,6, , , , , , , , , , , , ,2.874,3.33,4,2.67,89.93376623, ,89
28,2,6, ,4.5,6.25,4,3.5,7,3,5.5,19,1,1,2,3.15,3,3.67,3.33,85.22077922,4.67,89
31,2,6, ,3.75,6,5.5,4,4,2,6.5,19,1,1,0,3.547,4,4,4,92.68701299,5.39,89
7,3,5,1,4,6.25,4.5,3.5,5,1,5,19,1,1,0,3.129,4,3.67,3,94.5961039,5.11,94
11,3,5, ,4,5.25,6,3.5,7,4,5.5,19,1,1, ,3.346,4,4,3.67,93.17532468,4.05,95
20,3,5, , , , , , , , , , , , ,3.361,4,4,4,91.53766234, ,94
27,3,5, ,4,6,7,3.5,7,2,4,20,0,1,0,3.798,4,4,4,96.77142857,4.72,94
29,3,5, ,4.25,6,5,6.5,7,1.5,6.5,19,0,1,2,3.1,4,3.67,3,96.91428571,5.22,94
3,4,6, ,4.75,5.75,3,5,5.5,4,3.5,19,1,1,0,3.177,2,4,3,96.27142857,4.78,99
4,4,6,1,4,5.75,6,2.5,6,2.5,5,19,1,2,0,3.84,4,4,4,95.51298701,4.5,99
9,4,6, ,4.5,6.5,5.5,4,6.5,4,4.5,19,1,2,2,3.592,4,4,3.67,93.85714286,4.78,99
15,4,6, ,4.75,7,5,1.5,7,3,6,19,1,1,0,3.926,4,4,4,94.76363636,5.44,99
21,4,6, ,4.25,5.5,3.5,4.5,5.5,4,5,19,0,1, ,3.838,4,4,4,89.71038961,5.83,99
26,4,6, ,4.25,6.25,5,4.5,5,3.5,3.5,19,1,1,0,3.854,4,4,4,96.95064935,4.61,99
5,5,6, ,3.75,6.25,3.5,6.5,6.5,2.5,5.5,19,0,1,0,3.179,4,4,3.33,96.27922078,4.44,95
8,5,6,1,3.5,6,3.5,6.5,6,3.5,5.5,19,1,1,0,3.397,4,4,3.33,95.44805195,5.06,95
12,5,6, ,3.5,5.75,3.5,5,5.5,2.5,4,21,1,1,2,3.202,4,4,3.67,93.73766234,3.78,95
16,5,6, ,4.25,7,6,4,6,3.5,7,20,1,1,0,3.186,4,4,3.67,94.05844156,5.72,95
22,5,6, ,5,6.5,3.5,5,7,1,5.5,19,1,1,0,3.374,3.67,4,3.33,91.48441558,5.34,95
30,5,6, ,3.75,5.5,5.5,4.5,6,4,6,19,0,1,0,2.557,2,3.33,2.33,95.92857143,5.28,95
13,6,6,1,3.75,5,2,4,4.5,2.5,5,19,1,1,2,3.398,4,4,3.33,95.85064935,4.22,95
14,6,6, ,3.75,7,3,7,7,1,3,20,1,1,0,3.84,4,4,4,87,4.11,95
18,6,6, ,5,6.25,6.5,6,7,2.5,6.5,20,1,1,0,3.403,3,4,3.67,85.27402597,5.28,95
19,6,6, ,4,6.5,2.5,6,6,4,6.5,19,1,1,0,2.996,4,3.67,3,95.3961039,5.5,95
32,6,6, ,4,5.75,5.5,4,5,3,5.5,19,1,1,2,3.321,3.67,4,3,96.78571429,4.67,95
33,6,6, ,4.75,6,4.5,4,6.5,1.5,6,19,0,1,2,3.779,4,4,4,95.9025974,4.28,95
38,7,6, ,4.5,6,3,5,4.5,3.5,6,19,1,1,1,3.159,4,4,3.33,85.16363636,5,100
44,7,6, ,4.75,6.5,3.5,5,7,3.5,5,19,0,1,0,3.606,4,4,3.67,94.72727273,5.06,100
49,7,6,1,3.5,6.5,4.5,6,5,1.5,5.5,18,1,1,1,3.873,4,4,4,97.72727273,5.11,100
50,7,6, ,5,5.75,6.5,4.5,6.5,4,5,19,0,1,0,3.55,4,4,3.33,96.24545455,4.39,100
57,7,6, ,4.25,6,3,7,7,4,7,20,0,1,6,2.298,1,4,2,92.81818182,4.83,100
62,7,6, ,4.75,6.75,3,4.5,7,3.5,5.5,20,0,1,0,2.861,3.33,4,3,96.75064935,5.22,100
47,8,6, ,4.5,6.5,6.5,4.5,4.5,2.5,4.5,19,1,1,0,3.703,4,4,4,95.3,4.33,98
53,8,6, ,3.75,6.75,5,5.5,6.5,3.5,6.5,20,1,1,0,3.665,4,4,4,97.58571429,4.89,98
58,8,6, ,4,5,5,4,3.5,3,5,20,1,2,0,3.657,4,4,4,92.60779221,4.61,98
61,8,6,1,3.5,5.75,5,5,6.5,2.5,2.5,19,1,1,0,3.289,4,4,3.67,93.92597403,4.61,98
69,8,6, ,4.75,6,5,5.5,7,4,6,19,0,1,0,3.292,3.67,4,3.33,96.34935065,4.95,98
70,8,6, ,4,6,3.5,7,6.5,5,5.5,19,0,1,2,3.774,4,4,4,96.2,4.56,98
45,9,6, ,4.5,6.5,2.5,5,7,1,5,19,1,1,0,3.115,3.33,4,3.33,90.57272727,5.55,96
46,9,6, ,4,5.75,5,5,5,5,5,19,0,1,0,2.945,3,3.67,3,94.52727273,4.56,96
51,9,6, ,5,7,7,5.5,7,1,4,19,0,1,0,3.316,3.67,4,3.33,92.21948052,4.11,96
55,9,6, ,4.5,6.75,2,4.5,4.5,3.5,6,19,1,1,0,3.317,4,4,3.67,96.65714286,5.39,96
60,9,6,1,3.5,4.5,4.5,5.5,5.5,2,6.5,19,1,1,4,3.775,3.67,4,4,88.96233766,4.39,96
66,9,6, ,4,6,4.5,5,5.5,2,5.5,19,1,1,0,3.857,4,4,4,89.29480519,4.83,96
36,10,6, ,4.5,6,6.5,2.5,5,4.5,5,19,0,1,0,3.286,4,4,3,91.47402597,4.89,90
41,10,6, ,4.75,6.5,4,4,5,3,6.5,19,0,1,0,3.96,4,4,4,94.5,4.39,90
42,10,6, ,4,6,4.5,6,6,1.5,6,20,1,1,0,3.741,4,4,4,92,4.78,90
43,10,6, ,3.75,5.75,6,5,5,2.5,7,19,1,1,0,3.315,3.67,4,3,89.68181818,5.44,90
64,10,6, ,4,5.25,2,4,5,3.5,4,19,0,1,0,3.051,3.67,4,3.33,93.54545455,4.39,90
65,10,6,1,3.5,5.5,3.5,4.5,5,3,4.5,19,0,1,2,2.794,2.67,4,3,74.54545455,4.11,90
37,11,5, ,5,7,6,5,7,1.5,5,20,1,2,0,3.871,4,4,4,96.27142857,4.89,99
40,11,5, ,4.75,7,7,5,7,5.5,6.5,19,1,1,0,3.442,4,4,4,97.94545455,5.44,99
52,11,5, ,3.75,5.5,7,6,6.5,5.5,3,19,0,1,0,2.916,3,4,2.67,99.7,3.34,99
56,11,5,1,3.25,6,6,5,6.5,5,7,10,0,1,0,3.28,4,4,3.67,95.29090909,5.78,99
63,11,5, ,4.5,7,5,5,6.5,2.5,4.5,19,1,1,0,3.787,4,4,3.67,96.57272727,5.61,99
39,12,6, ,4,6.5,6,6,6,2.5,4.5,19,0,1,0,3.257,3.33,4,3.67,97.06428571,4.83,94.5
48,12,6, ,4,5.75,4,4.5,4,4,4,19,1,1,0,3.635,4,4,4,94.49285714,4.05,94.5
54,12,6, ,4.25,6.75,6.5,4,5.5,4,5,19,1,1,0,3.755,4,3.67,4,96.23571429,4.95,94.5
59,12,6, ,4,7,4.5,6,5.5,2,6,19,0,1,0,3.427,4,4,3.33,87.63051948,5.28,94.5
67,12,6,1,3,4.5,1.5,5,5,3.5,4.5,20,0,1,2,3.474,4,4,3.67,96.10714286,4.22,94.5
109,12,6, ,3.5,6.5,4,5,5.5,5,6.5,20,0,1,2,3.765,4,4,4,93.89545455,5.39,94.5
75,13,6, ,4.5,7,4,6.5,6.5,1.5,6.5,18,0,1,2,3.8,4,4,3.67,94.61558442,5.34,91
81,13,6, ,4.75,6.5,7,6.5,6.5,1.5,6.5,20,0,1,1,3.529,4,4,3.33,91.86493506,5.11,91
82,13,6,1,4.25,6,3.5,6.5,7,2,6,19,0,1,0,3.538,3.33,3.67,3.67,94.34285714,5.16,91
86,13,6, ,5,6,4.5,3.5,3.5,4,4,20,0,1,2,3.994,4,4,4,92.54935065,3.78,91
100,13,6, ,4.5,6.25,5.5,4,6,3.5,7,20,1,1,0,3.503,3.33,4,3.67,89.68441558,5.34,91
102,13,6, ,4.25,6.75,6,5,7,1,5.5,19,1,1,0,3.662,4,4,4,97.19090909,5.34,91
72,14,6, ,4.25,5.75,3.5,4,6.5,3.5,3.5,20,1,1,0,3.706,4,4,4,93.45844156,4.5,93
84,14,6, ,5,7,7,5,7,1.5,7,19,1,1,0,3.37,4,4,3,94.71818182,5.39,93
90,14,6, ,3.5,6,6.5,6.5,6.5,4,5,19,0,1,0,3.355,3.67,4,3.67,93.83896104,4.72,93
91,14,6, ,4.25,6.25,5,5.5,6.5,1,6.5,19,1,1,1,3.369,3.33,4,4,89.87402597,4.95,93
93,14,6,1,3.25,6.25,4,5,7,3,5.5,20,0,1,0,3.24,4,4,3.67,92.9038961,5.34,93
103,14,6, ,3.5,4.75,1,5,3,3,4.5,20,1,1,2,3.786,4,4,4,92.65324675,4.28,93
73,15,6, ,4.5,7,1,3.5,5,1,5,19,1,1,0,3.776,4,4,3.67,90.5038961,5.44,93
83,15,6, ,4,7,3.5,6.5,5.5,3.5,4.5,20,1,1,0,3.336,4,4,3.33,85.49220779,4.56,93
88,15,6, ,4.75,5.75,4,3.5,7,1.5,4.5,20,1,1,0,3.676,4,4,4,92.54935065,5.34,93
96,15,6, ,4.25,6.25,1.5,5.5,6.5,3.5,3.5,19,1,1,0,3.428,4,4,3.33,93.36233766,4.28,93
98,15,6,1,3.5,4.25,4,5,3.5,6.5,6.5,19,0,1,0,3.462,4,4,3,87.68571429,5.06,93
99,15,6, ,3.5,5.75,2.5,4.5,6,4.5,4,19,0,1,2,3.019,3.67,4,3.67,90.88961039,3.83,92
79,16,6, ,4.75,6.25,6,4,4,6.5,6.5,20,1,1,0,3.316,4,4,3.33,93.5,5.34,93
87,16,6, ,4,6,6,5,4.5,3.5,5.5,19,0,1,0,3.591,3.67,4,4,95.45714286,4.61,93
89,16,6, ,4.5,6,2.5,4.5,6,3,5.5,20,1,1,0,3.531,4,4,3.67,93.21038961,5.06,93
94,16,6, ,5,7,6.5,3,6,2,5.5,20,1,1,0,3.239,4,4,3,94.47142857,4.56,93
95,16,6,1,3.5,5.75,3.5,3.5,4,2,3.5,20,1,2,0,3.534,3,4,3,94.08831169,3.89,93
104,16,6, ,4.5,6.5,5.5,6.5,6.5,3.5,5.5,19,0,1,2,3.609,4,4,4,92.23636364,4.33,93
71,17,6,1,3.25,6,4,4,5.5,3,5,19,1,1,2,3.356,4,4,4,91.04415584,4.28,94
74,17,6, ,4.5,6.25,6,6,6.5,2,6,19,0,2,2,3.42,4,4,3.67,93.78571429,5.11,94
78,17,6, ,4.75,6.5,4,6.5,7,3,5.5,19,0,2,2,3.339,4,4,3.67,91.61558442,5,94
80,17,6, ,4.25,6.5,7,4.5,7,6,6.5,19,1,1,0,3.486,3.67,4,3.33,92.92727273,4.05,94
85,17,6, ,5,6,6,3.5,5.5,3.5,5,19,0,1,0,3.585,4,4,3.67,91.54545455,4.44,94
101,17,6, ,3.5,5.75,3,4.5,7,2.5,3.5,19,1,1,0,3.403,4,4,3,97.44545455,4.39,94
76,18,5, ,4,6,3.5,4,6,3.5,4,19,1,1,0,3.476,3.33,4,3.67,92.04415584,4.83,96
77,18,5, ,3.75,6.25,3,5,5.5,3,5,19,0,1,2,3.157,3.67,4,3.67,93.9038961,4.56,96
92,18,5, ,4,6.5,6,3,4,3.5,5,19,1,1,0,2.947,3.67,4,3.33,98.8,4.28,96
97,18,5, ,4.5,6,1,6,6,4,3.5,19,1,1,0,3.586,3.67,4,4,96.65714286,5.16,96
105,18,5,1,3.5,5,4.5,5,5.5,6,2,19,0,1,0,3.322,4,4,4,95.32337662,3.94,96
106,19,6, ,4.5,6,4,6,4.5,1.5,5.5,20,1,1,0,3.283,4,4,4,92.01818182,5,100
115,19,6, ,4.25,6.75,6.5,4.5,7,2.5,6.5,19,0,1,0,3.688,4,4,3.67,96.91428571,4.95,100
120,19,6, ,4.5,5.25,4.5,5.5,6.5,2,6.5,19,0,1,0,3.462,3.33,4,3,95.42857143,4.78,100
128,19,6, ,4,5.75,4,6.5,3.5,5,7,19,1,1,0,2.892,3.33,4,3.33,97.54545455,4.95,100
131,19,6,1,3.75,6.25,5.5,5,5.5,2,5,19,1,1,0,3.671,4,4,3.33,93.81038961,4.39,100
132,19,6, ,5,7,5,7,7,2,5.5,19,0,1,0,3.413,4,4,3.33,96.05714286,5.34,100
123,20,5, ,5,7,1.5,3.5,6.5,4,3.5,19,0,1,2,3.189,4,4,3.67,94.37402597,4.05,92
129,20,5, ,4,7,4.5,6.5,6.5,2.5,4,19,0,1,0,2.899,4,4,2.33,95.5,5.55,95
130,20,5, ,4.5,6,3.5,6,6,3,5,19,1,1,2,3.063,2,4,2,85.65324675,5.06,92
138,20,5,1,3.75,5.75,2.5,5,6,5.5,6,20,1,1,2, , , , ,82.64545455,4.67,92
139,20,5, ,3.75,6.25,3.5,6,4.5,1.5,5.5,18,0,1,2, , , , ,94.74935065,5,92
68,21,6, ,4.75,4.75,2,4.5,5,6.5,5.5,19,0,1,2,3.286,3.67,4,3.33,92.88896104,5.16,94.5
108,21,6,1,3.5,6,4,6.5,6.5,5,3,19,1,1,0,2.807,2.67,4,4,96.35,4.11,94.5
118,21,6, ,4,6,3.5,4.5,5,3,4.5,19,1,1,0,2.974,4,4,3,95.05,4.5,94.5
133,21,6, ,4.25,5.5,4,5,4.5,3.5,5,19,0,1,4,3.856,4,4,4,93.02532468,3.55,94.5
134,21,6, ,4.75,5.75,6,7,6,2,5.5,20,0,1,0,3.75,3,4,4,94.84350649,5,94.5
136,21,6, ,4,6.75,7,5,6.5,1.5,6,19,1,1,0,3.709,4,4,3.33,95.60324675,5.11,94.5
110,22,6, ,4,5.75,2.5,6,7,5.5,4,20,0,1,0,3.316,3.33,4,3.33,95,3.89,94
112,22,6,1,3.25,5.5,4,6.5,3.5,4.5,4.5,19,1,1,3,3.805,4,4,4,96.61428571,4.28,94
122,22,6, ,3.75,5.75,4.5,6,6,2,5.5,19,1,1,2,3.921,4,4,4,96.91428571,4.61,94
125,22,6, ,4.75,6.75,5,4.5,5.5,1.5,6,20,1,1,2,3.561,4,4,4,94,4.39,94
127,22,6, ,4,6,4,7,5.5,2,6.5,20,0,1,4,3.713,3.67,4,3.67,97.34285714,5.28,94
135,22,6, ,4,5.5,4,4,6.5,3,4,19,1,1,0,3.621,4,4,4,95.42857143,4.44,94
107,23,5, ,5,6.5,3.5,4,6,4,6,20,0,1,0,3.418,4,4,3.67,97.34285714,5.06,93
111,23,5, ,4.75,6.25,5,6,7,2,4.5,19,1,1,0,3.331,4,4,3.33,96.45974026,5,93
113,23,5, ,4.5,6.25,4.5,5.5,7,2,5.5,19,0,1,0,3.536,3.33,4,4,93.86233766,5.34,93
117,23,5, ,3.5,5,3,5.5,6,2.5,4,19,0,1,3,3.636,4,4,3.67,88.71038961,3.5,93
124,23,5,1,3,6,4,4.5,5,3,4.5, ,1,1,0,3.799,3.33,4,3.67,91.5012987,4.72,93
114,24,6, ,4,6.75,7,4,6,5,3.5,19,0,1,0,3.275,4,4,4,96.38571429,4.39,92
116,24,6, ,5,6,6,4.5,5,2,6,19,1,1,0,3.673,4,4,3,96.81688312,4.56,92
119,24,6, ,5,7,4,6,7,1.5,4.5,19,1,1,0,3.242,3.67,4,3,95.17402597,5.44,92
121,24,6, ,4,5.5,4,5,4.5,3.5,5,20,0,1,2,3.099,2,4,3,96.35714286,4.22,92
